Распределение,n,Квантиль,Истинное значение,Среднее ECDF,Дисперсия ECDF,Смещение ECDF,Среднее гистограмма,Дисперсия гистограмма,Смещение гистограмма,Среднее KDE,Дисперсия KDE,Смещение KDE
normal,10,0.01,-2.3263478740408408,-1.5056061215297927,0.3102038985529258,0.8207417525110481,-1.5165816720159957,0.32212345136853393,0.8097662020248451,-2.454480744144433,0.48790921170365603,-0.1281328701035922
normal,10,0.05,-1.6448536269514729,-1.3084401863074386,0.22904701506749794,0.3364134406440342,-1.3633179387384526,0.2652692806293196,0.2815356882130202,-1.848314967869031,0.3154295882676609,-0.20346134091755808
normal,10,0.5,0.0,-0.009443891720988723,0.13398276779395782,-0.009443891720988723,-0.012678626010502417,0.13816511191972294,-0.012678626010502417,-0.0033349516260786694,0.10704775649610453,-0.0033349516260786694
normal,100,0.01,-2.3263478740408408,-2.154099116814565,0.0966522431446679,0.17224875722627564,-2.241031197912078,0.09828484330127175,0.08531667612876292,-2.481291049018113,0.0834885419332393,-0.15494317497727206
normal,100,0.05,-1.6448536269514729,-1.5932268528478692,0.04113908350943212,0.05162677410360361,-1.682462408876242,0.03958536798558648,-0.03760878192476924,-1.7601719409082779,0.033134361569322646,-0.11531831395680503
normal,100,0.5,0.0,0.0036235174097780432,0.015382971230076689,0.0036235174097780432,0.0026072476555952565,0.014083122049749108,0.0026072476555952565,0.0022622725985751374,0.012130267234987094,0.0022622725985751374
normal,1000,0.01,-2.3263478740408408,-2.312511394075082,0.014332411428741504,0.013836479965758652,-2.3884577387801835,0.012950283497934641,-0.06210986473934277,-2.402723701765987,0.010233977379862015,-0.07637582772514628
normal,1000,0.05,-1.6448536269514729,-1.6428084143638708,0.004312645740761733,0.002045212587602041,-1.6878974911522158,0.004143390156053503,-0.04304386420074291,-1.6979440387847584,0.0034861632711700877,-0.053090411833285556
normal,1000,0.5,0.0,-0.0006818024855817763,0.0015890545074563373,-0.0006818024855817763,-0.0015107655239242654,0.0014329281070015766,-0.0015107655239242654,-0.0013656619118101838,0.0013161207258240218,-0.0013656619118101838
normal,10000,0.01,-2.3263478740408408,-2.323629565759519,0.0013612773088880802,0.0027183082813215798,-2.3696081860171314,0.0015282498443964945,-0.043260311976290655,-2.3549573548501046,0.001052908865691008,-0.028609480809263843
normal,10000,0.05,-1.6448536269514729,-1.6441958056523636,0.00045275155399847566,0.0006578212991092958,-1.6772994186864012,0.0006078936234010214,-0.03244579173492834,-1.6652401445268115,0.0003772531749185313,-0.020386517575338603
normal,10000,0.5,0.0,1.033113942909426e-05,0.00015264420633494914,1.033113942909426e-05,-2.1600176581566348e-05,0.00013778919116731842,-2.1600176581566348e-05,4.4593999797048846e-05,0.0001306655651528873,4.4593999797048846e-05
uniform,10,0.01,0.01,0.09934997791083984,0.006896925830375343,0.08934997791083985,0.09904503200135915,0.006831795796893589,0.08904503200135916,-0.18751330256438087,0.015663808307063657,-0.19751330256438088
uniform,10,0.05,0.05,0.1325352863786246,0.007908070380696769,0.0825352863786246,0.1310105568312213,0.0067791530832334405,0.08101055683122128,-0.024190932856818493,0.011892391704037974,-0.07419093285681849
uniform,10,0.5,0.5,0.5033172207335104,0.018795895604250056,0.003317220733510373,0.4982614146094356,0.019386488794375902,-0.0017385853905643733,0.5029465159714033,0.012538247084809545,0.002946515971403274
uniform,100,0.01,0.01,0.01941112813556047,0.00018200457476340873,0.009411128135560469,0.019422017620209373,9.7827700361172e-05,0.009422017620209373,-0.11064671854837957,0.0005204068389446673,-0.12064671854837956
uniform,100,0.05,0.05,0.05836341455890879,0.0005384224248515687,0.008363414558908787,0.05862150317619722,0.00026866664670833655,0.008621503176197219,0.009569569263546037,0.0005902920268879114,-0.040430430736453964
uniform,100,0.5,0.5,0.4971978693590736,0.0025413789459201334,-0.0028021306409263813,0.49697520493341474,0.002263355404051525,-0.003024795066585262,0.4973639283679518,0.001846751212721339,-0.002636071632048209
uniform,1000,0.01,0.01,0.010922673028571746,1.0447970640101331e-05,0.0009226730285717463,0.011047530212986772,2.2496702956462296e-06,0.001047530212986772,-0.05195112698220629,2.8798652296841993e-05,-0.06195112698220629
uniform,1000,0.05,0.05,0.05106292546984696,4.662132722058227e-05,0.0010629254698469592,0.0510473153227117,2.8829887621782178e-05,0.0010473153227116977,0.035744635938717975,4.2390121026996136e-05,-0.014255364061282028
uniform,1000,0.5,0.5,0.5007665105294141,0.0002261189024901045,0.0007665105294141217,0.5007867713144396,0.0002098939459139797,0.0007867713144396049,0.5005663066413368,0.00018439655652051877,0.0005663066413368334
uniform,10000,0.01,0.01,0.010132050203394059,1.0242080169920492e-06,0.00013205020339405842,0.010104201484011307,1.6049138233938592e-07,0.00010420148401130667,-0.019828921506396664,1.9744773301258043e-06,-0.029828921506396662
uniform,10000,0.05,0.05,0.05017296521152457,4.999555944784347e-06,0.00017296521152456584,0.050129340269546435,3.884319753197157e-06,0.0001293402695464324,0.04637344821415107,3.769621979154015e-06,-0.0036265517858489332
uniform,10000,0.5,0.5,0.50031966863582,2.457370398491368e-05,0.00031966863582000293,0.5003083013194558,2.4176750693419814e-05,0.00030830131945580597,0.5003147196334015,2.2365641685166937e-05,0.00031471963340146125
